uts,utc_time,artist,artist_mbid,album,album_mbid,track,track_mbid
"1718316218","13 Jun 2024, 22:03","NAYEON","e107bde8-78f0-4646-8925-68007a15880e","","","POP!","89ac7339-b145-4628-94e3-25b57114404c"
"1718313648","13 Jun 2024, 21:20","Uiu","aa94f0cb-34c3-4bf0-be54-f59a31b77d3e","","","Starlit","ab2b648f-854b-4d61-97a2-d4c3bad3491f"
"1718312839","13 Jun 2024, 21:07","YeEun","","","","Mermaid",""
"1718312826","13 Jun 2024, 21:07","DreamNote","c9f66a4e-35f9-4e35-aa53-2159cbacd408","","","GHOST","3b808f20-4bc5-460f-8334-eaaf0dba9df6"
"1718311948","13 Jun 2024, 20:52","tripleS","555e796e-922c-4320-88e9-a2fc28569cab","","","Girls' Capitalism","13e4b69a-943c-46cf-ad36-ecc7cecd4dbc"
"1718311919","13 Jun 2024, 20:51","IZ*ONE","49948ebe-bf1c-4823-b470-f2c9ab018686","","","Panorama","29b1598c-b8c9-4b5e-8579-a3e3e23f5d8b"
"1718015650","10 Jun 2024, 10:34","tripleS","555e796e-922c-4320-88e9-a2fc28569cab","","","Beam","7090b949-6905-408d-ba34-edf7b96aa522"
"1718015634","10 Jun 2024, 10:33","SECRET NUMBER","2c06a4b9-8bff-41b9-ac35-5265cfa12806","","","DOXA","be835c98-e831-42a4-b05b-a647addf4131"
"1718015626","10 Jun 2024, 10:33","XG","8dfe067c-ae90-472e-80f2-fcee9be4e158","","","SHOOTING STAR","222e1f55-ba9a-4376-8ef6-b8e9cfb6a33c"
"1718015617","10 Jun 2024, 10:33","Red Velvet","","","","Psycho","05ad2056-97f6-4aa4-bfb3-f12c6ecf2c7f"
"1718015588","10 Jun 2024, 10:33","Illit","","","","Midnight Fiction","4c391283-2487-41af-a8d8-be96cc5eef0c"
"1718015578","10 Jun 2024, 10:32","Dua Lipa","6f1a58bf-9b1b-49cf-a44a-6cefad7ae04f","","","Illusion","9c22670f-4cbd-447d-b73b-cfd09ea0fbae"
"1718015566","10 Jun 2024, 10:32","TWICE","81b06580-9723-4160-bf0c-e295a3b7a40a","","","The Feels","048de85d-5d29-45d8-a655-f4a4a48d39d5"
"1718015553","10 Jun 2024, 10:32","TOMORROW X TOGETHER","9d027d72-790e-40ec-bbb7-61aa613457de","","","Deja Vu","4462c706-3e98-4bf7-babd-2349ce0dd18c"
"1718015532","10 Jun 2024, 10:32","Vinida Weng","de303178-5750-4446-ab9b-1f70a41293cf","","","带你",""
"1718014854","10 Jun 2024, 10:20","NewJeans","49204a7a-ed85-407a-828f-6fd46f1d8126","","","ASAP","5db082d6-b570-49fe-9b07-9e9da68cab2d"
"1718014838","10 Jun 2024, 10:20","LE SSERAFIM","1ee37742-1e3d-4e61-84d2-bc85f4c1459a","","","No Celestial","bf448822-4298-4a5c-8ba1-c873f960ba7d"
"1718014818","10 Jun 2024, 10:20","Trendz","3d612dbf-32fc-4198-a2d0-2d04a99a6adf","","","MY WAY","7f793e9c-f47b-4cb5-b3bb-100cccbd41c3"
