track,artist,number
LA DI DA,Everglow,1
FANCY,TWICE,2
SHUT DOWN,CLASS:y,3
KILLER,FAINIT,4
SPIT IT OUT,Solar,5
Autopilot,PURPLE KISS,6
O.O,NMIXX,7
I CAN'T STOP ME,TWICE,8
Sweet Juice,PURPLE KISS,9
Lovesick Girls,BLACKPINK,10
Zombie,PURPLE KISS,11
Athletic Girl,H1-KEY,12
Attention,NewJeans,13
Pirate,Everglow,14
Nerdy,PURPLE KISS,15
Game Over,Ferry Blue,16
Dingga,MAMAMOO,17
Killer,Key,18
Starry Night,MAMAMOO,19
LIKEY,TWICE,20
HIP,MAMAMOO,21
GOT THE THRILLS,TWICE,22
SLAY,Everglow,23
BAD GIRLFRIEND!!,소공녀 프로젝트,24
BAZOOKA!,GWSN,25
Hype Boy,NewJeans,26
LOVE DIVE,IVE,27
WANNABE,ITZY,28
The Feels,TWICE,29
Bubble,STAYC,30
Feel Special,TWICE,31
Psycho,Red Velvet,32
SO BAD,STAYC,33
Back to the City,Kep1er,34
LEFT RIGHT,XG,35
POP!,NAYEON,36
Zero,NewJeans,37
Starlit,Uiu,38
FIRST,Everglow,39
After LIKE,IVE,40
GHOST,DreamNote,41
Love Talk,WayV,42
Perfect Night,LE SSERAFIM,43
Queen of Hearts,TWICE,44
Pom Pom,Rocking Doll,45
Girls’ Capitalism,tripleS,46
DICE,NMIXX,47
ANTIFRAGILE,LE SSERAFIM,48
LOCO,ITZY,49
Gangnam Style (강남스타일),Psy,50
