track,artist,days_30,t30,days_90,t90,days_180,t180,days_365,t365,ll,st,ot,p,total
#menow,Fromis_9,8,1,14,1,7,1,0,0,0,1,0,0,4
GPT,Stayc,2,1,0,0,0,0,0,0,0,0,0,0,1
SO BAD,Stayc,1,1,0,0,0,0,0,0,0,0,1,0,2
To the moon,Taeyeon,1,1,0,0,0,0,0,0,0,0,0,0,1
Whiplash,Aespa,2,1,0,0,0,0,0,0,0,0,0,0,1
BAD BLOOD,Nana,0,0,2,1,60,1,0,0,0,1,0,0,3
LIAR,Rocking Doll Roa,0,0,36,1,23,1,20,1,0,1,0,0,4
Strawberry Rush,Chuu,0,0,8,1,0,0,0,0,0,1,0,0,2
Do not touch,Misamo,0,0,0,0,34,1,0,0,0,0,0,0,1
Die for You,El7z Up,0,0,0,0,0,0,46,1,0,0,0,0,1
GITY,Chymes,0,0,0,0,0,0,145,1,0,0,1,0,2
Feel Brand New,Mirei,0,0,0,0,0,0,0,0,1,0,0,0,1
In the Night Time,Mirei,0,0,0,0,0,0,0,0,1,0,0,0,1
Love Lost,Mac Miller,0,0,0,0,0,0,0,0,1,0,0,0,1
Pom Pom,Rocking Doll,0,0,0,0,0,0,0,0,0,0,1,0,1
